# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14678982,SwampMarsh,292734.2326141021,0.14166129315621728,False,292426,1m
14438720,SwampMarsh,826390.4577049137,0.09210442776470816,False,825919,1m
14299921,SwampMarsh,311663.4265738279,0.03769503757078731,False,308318,1m
14438828,SwampMarsh,99280.48953339162,0.0,True,98182,1m
14438738,SwampMarsh,198972.50604635995,0.26861887007077856,False,198789,1m
14432221,SwampMarsh,380453.84015137545,0.06895673468918084,False,380205,1m
14274008,SwampMarsh,678272.0981345262,0.0350273961012215,False,677366,1m
14438848,SwampMarsh,188902.39483055472,0.1517761142241037,False,188859,1m
14745104,SwampMarsh,219648.0583449176,0.0,True,219467,1m
14438690,SwampMarsh,348706.27100546146,0.08464257532281205,False,348500,1m
14439618,SwampMarsh,744328.8396138529,1.1296448756002303e-05,False,743985,1m
14826271,SwampMarsh,502953.65924135194,0.0,True,502639,1m
14293001,SwampMarsh,195699.10959620203,0.0,True,193267,1m
14747014,SwampMarsh,374277.3357605946,0.0038947389020993076,False,374034,1m
12713026,SwampMarsh,298811.95491663227,0.0019760092243323564,False,298681,1m
14438794,SwampMarsh,391084.3896689657,2.085503070993568e-05,False,390781,1m
14678972,SwampMarsh,1864523.598935477,0.0,True,1849753,1m
14293631,SwampMarsh,235354.72040772412,0.0,True,235128,1m
14745454,SwampMarsh,1517123.3921122479,0.0,True,1515865,1m
14678962,SwampMarsh,227180.32462306228,0.8649902150108837,True,226942,1m
14745114,SwampMarsh,332081.2531368605,0.0,True,331806,1m
14678992,SwampMarsh,344766.67076708464,0.0,True,342020,1m
21542756,SwampMarsh,504629.89023820235,0.41708321387401365,False,504007,1m
14677958,SwampMarsh,257611.23194880065,0.5070262226197373,False,255476,1m
14678994,SwampMarsh,192628.89472840543,0.0,True,192443,1m
14684474,SwampMarsh,532079.4692585516,0.01507669898640832,False,531612,1m
14432163,SwampMarsh,585431.288784897,0.0215388844950912,False,584868,1m
14438764,SwampMarsh,223390.5713994274,2.056118302297859e-05,False,220836,1m
14678986,SwampMarsh,451211.6134922786,0.0,True,450758,1m
12713024,SwampMarsh,1183370.1398150865,6.039859932585937e-05,False,1181138,1m
21542856,SwampMarsh,678592.074671203,0.742387873519561,False,672689,1m
14299959,SwampMarsh,268355.21685576666,0.4812391221010924,False,268032,1m
14825913,SwampMarsh,104646.53028586332,0.014287643946223918,False,104576,1m
21542754,SwampMarsh,1385220.525364443,0.019220151307815014,False,1383529,1m
14293027,SwampMarsh,332031.0961016793,2.0495125513044368,False,331599,1m
14273932,SwampMarsh,368081.5350466545,0.3895365593639861,False,371690,1m
14677964,SwampMarsh,163356.68780638327,4.399836638325938e-06,False,163178,1m
14828513,SwampMarsh,2294387.5700335638,9.013050557610564e-05,False,2293836,1m
14677902,SwampMarsh,72109.20506965747,1.333954812764258,False,72609,1m
14685158,SwampMarsh,355655.9596338227,0.0046556294342612525,False,355365,1m
14439656,SwampMarsh,515982.59947599244,0.0,True,515660,1m
14828387,SwampMarsh,522321.0821066021,0.02600720343000638,False,522069,1m
14439642,SwampMarsh,553332.1372739841,0.0,True,548414,1m
14293665,SwampMarsh,346438.3474513124,0.42391142187942504,False,346042,1m
14678002,SwampMarsh,326147.59284563083,0.0004546808639968234,False,325815,1m
14826007,SwampMarsh,106346.28293840868,0.04510587628806874,False,106288,1m
14300007,SwampMarsh,272274.6671987342,0.28699570090623333,False,272005,1m
14824713,SwampMarsh,133327.03450651385,0.08878518976154555,False,133233,1m
14678088,SwampMarsh,265481.76897728414,0.0,True,263638,1m
14677962,SwampMarsh,128288.6593799567,1.3747869413073035,False,127239,1m
14293657,SwampMarsh,203752.0520854288,0.9510418253496349,False,203498,1m
14273900,SwampMarsh,1016844.0215779358,0.6921554372049922,False,1015439,1m
14432151,SwampMarsh,1650688.5959888624,0.021704229255810493,False,1624949,1m
14300043,SwampMarsh,446750.22319889773,0.9552489784361189,False,450290,1m
14432157,SwampMarsh,491936.7859180317,0.04301382862685391,False,491459,1m
