# Hollister/lakeMorpho terrain-slope max-depth prototype over an ND LakePond sample (issue #173 Task 6). Project=ND_3DEPProcessing_D22. n_sampled=300, n_usable=300. max_depth_m = lake_max_depth() (mean shoreline-ring slope x max in-polygon distance-to-shore, over the polygon interior via _interior_mask). mean_depth_m = max_to_mean(max_depth_m, shape='cone') = max_depth_m / 3 -- documented assumption (V/A of a cone), NOT field-calibrated in this spike; no bathymetry survey was available to fit the factor empirically. Cross-check: NHM's calibrated dprst_depth_avg median is ~49 in (docs/superpowers/... nhm_dprst_params_are_calibrated) -- compare against mean_depth_in below, but this spike does not block on matching it.
COMID,FTYPE,area_km2,max_depth_m,mean_depth_m,mean_depth_in,n_interior_cells,resolution
14277322,LakePond,0.03755230801135919,0.7033737906789953,0.23445793022633177,9.230632158803704,37518,1m
14290677,LakePond,0.03707820434662596,3.0603065575646053,1.0201021858548684,40.16152506732476,37038,1m
11500638,LakePond,0.06203890348559831,2.8359922495688816,0.9453307498562938,37.21776615491728,61990,1m
11460286,LakePond,0.03155238505023509,1.755020448387543,0.5850068161291809,23.031776851687468,31532,1m
14432853,LakePond,0.018465128737468212,2.270486773214044,0.7568289244046813,29.796430436704743,18457,1m
14520105,LakePond,0.017120740883273627,2.914181214199543,0.9713937380665143,38.24386860705248,17129,1m
14289863,LakePond,0.024220528148572826,1.1259667457271276,0.37532224857570917,14.776474458650528,24197,1m
11439393,LakePond,0.04471412499079544,2.8781824656937367,0.9593941552312455,37.77144383086966,44678,1m
11498540,LakePond,0.09662975840389341,0.26993384655586955,0.08997794885195651,3.542440844096413,96506,1m
14413771,LakePond,0.054816237558797574,2.546733807165762,0.8489112690552539,33.421721553832256,54781,1m
14291219,LakePond,0.014555163522175708,2.161095272514351,0.720365090838117,28.360845662805747,14537,1m
14183410,LakePond,0.05102014129015801,8.963351512032666,2.987783837344222,117.62934845462576,50976,1m
14682604,LakePond,0.12639810059979822,0.7267393749051373,0.24224645830171243,9.537267287984248,126291,1m
14825979,LakePond,0.011301905663301021,1.3796647685649082,0.4598882561883027,18.105846634959097,11287,1m
14266968,LakePond,0.1574575982950615,5.923007778319877,1.9743359261066256,77.72980284441046,158739,1m
6675212,LakePond,0.021561456807236624,2.564373142064995,0.8547910473549983,33.65320901347102,21558,1m
14290911,LakePond,0.012725996005583422,1.242454223357398,0.41415140778579934,16.3051823396677,12724,1m
11494970,LakePond,0.02090650399517193,1.6191946238617347,0.5397315412872449,21.24928475363296,20874,1m
11498004,LakePond,0.08685675770681077,1.0609642786008726,0.3536547595336242,13.923423248314737,86781,1m
